Territorio,Età,Valore
Piemonte,0,28859
Piemonte,1,31018
Piemonte,2,32321
Piemonte,3,33169
Piemonte,4,34519
Piemonte,5,35425
Piemonte,6,36819
Piemonte,7,37176
Piemonte,8,37984
Piemonte,9,39048
Piemonte,10,39340
Piemonte,11,39283
Piemonte,12,38628
Piemonte,13,38402
Piemonte,14,38350
Piemonte,15,38457
Piemonte,16,37892
Piemonte,17,37964
Piemonte,18,39458
Piemonte,19,39018
Piemonte,20,40091
Piemonte,21,39930
Piemonte,22,39385
Piemonte,23,39369
Piemonte,24,39755
Piemonte,25,40289
Piemonte,26,41644
Piemonte,27,42168
Piemonte,28,43446
Piemonte,29,42937
Piemonte,30,44289
Piemonte,31,43388
Piemonte,32,44277
Piemonte,33,45575
Piemonte,34,45854
Piemonte,35,47224
Piemonte,36,49248
Piemonte,37,49369
Piemonte,38,50876
Piemonte,39,52094
Piemonte,40,55767
Piemonte,41,58641
Piemonte,42,61392
Piemonte,43,64938
Piemonte,44,67794
Piemonte,45,67736
Piemonte,46,69446
Piemonte,47,70553
Piemonte,48,69804
Piemonte,49,72228
Piemonte,50,71727
Piemonte,51,71695
Piemonte,52,72143
Piemonte,53,71778
Piemonte,54,72848
Piemonte,55,67979
Piemonte,56,65468
Piemonte,57,64797
Piemonte,58,62664
Piemonte,59,61154
Piemonte,60,59407
Piemonte,61,59124
Piemonte,62,57787
Piemonte,63,56636
Piemonte,64,55820
Piemonte,65,53750
Piemonte,66,53676
Piemonte,67,52667
Piemonte,68,54782
Piemonte,69,55191
Piemonte,70,57801
Piemonte,71,56367
Piemonte,72,54700
Piemonte,73,41605
Piemonte,74,44291
Piemonte,75,43643
Piemonte,76,43835
Piemonte,77,43764
Piemonte,78,47301
Piemonte,79,46248
Piemonte,80,44147
Piemonte,81,39452
Piemonte,82,35269
Piemonte,83,34291
Piemonte,84,31039
Piemonte,85,27820
Piemonte,86,25660
Piemonte,87,23370
Piemonte,88,21788
Piemonte,89,17666
Piemonte,90,14500
Piemonte,91,12177
Piemonte,92,9571
Piemonte,93,7469
Piemonte,94,5658
Piemonte,95,4370
Piemonte,96,3298
Piemonte,97,2324
Piemonte,98,1490
Piemonte,99,663
Piemonte,100,1099
Valle d'Aosta,0,889
Valle d'Aosta,1,892
Valle d'Aosta,2,962
Valle d'Aosta,3,972
Valle d'Aosta,4,1061
Valle d'Aosta,5,1036
Valle d'Aosta,6,1127
Valle d'Aosta,7,1193
Valle d'Aosta,8,1165
Valle d'Aosta,9,1231
Valle d'Aosta,10,1213
Valle d'Aosta,11,1200
Valle d'Aosta,12,1241
Valle d'Aosta,13,1140
